title,published_dt,sources,sections,urls,keep_reason,is_keep_override,excluded_reason
The Medicare Advantage paradox: Who benefits most?,2026-03-24T20:31:53+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxPb05hTVlqNG9aOEZVVnV5SGlnVHl3cXJIU3RaVGw3R3cwdTNwRGFSUnAxUkxOUjl3YzNSYTRFOHJabzNmMXpWRnpJZFNaTU1uWXEzQ3czdUF5QXNUWHpqZlQxUkpJOVdZYzFXUjBXa3dreThBTlp3aGlJVFpodVlRQTVYSjgxQVVHUHQxT1pKb2ltTjMxeFlMcC1PNA?oc=5,Medicare Advantage,True,
19 health systems dropping Medicare Advantage plans | 2026,2026-04-01T21:36:45+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMipgFBVV95cUxPejY0dEhMaUVydGV5eWJVSVEtYVBhWEtqenNyakpiOW0wOEhUczZERXB4NzJSb2pyOXphRVQ5cWNRRl9JVzg2S2tIN29odnRldEVzMFMxc054ZlVfRlJLNGxBdW9Jb1BOVWNEMk9YdWgtVXZobFhIMmtZTGpOdDR6SWozdm9GVjlvY0ZhQ3B6dlZWbDhaNHBXUEV4bVVuamRKV1ZILUtR?oc=5,dropping,True,
Hospitals brace for new wave of federal cuts as GOP turns to reconciliation again,2026-04-09T18:51:30+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMixwFBVV95cUxQSWt3RHFwNmEzSUttQXU1RGdBeHZRRXpnWW5GY1ZJWmRJVHJicFI5Zi1QbzZFVnZHTE1WbFdjOUFrMnhJZ1ZKRGRxakc5ZGs3NWw0LVVJUjNhT3I4bmF5cktVcFJnOVAtMEVqbTU2SHFyYlJVSEdPNE5WMVpkdmc5YUp5QmJDTndndFU1YTFmelBGWkoyWC1FeTFxU0NOUlNFVjdnUE9jRk1icFl1cXNZSzFFLXcxVnc0Z1BMTlA4ZG9KLU1uVV9j?oc=5,,False,
"As states scramble to supplement Medicaid cuts, MCO taxes are a tricky part of the equation",2026-04-06T20:44:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPeERHWkRuSW1idVh3R2FheVo3bkt2aGgzYlZFUW5ETzdNQ25tWktkSzJtOEpfN3h0UG9zWEFHZVF1M3JrNnBjNEo0SjZRZnhHNWxPUXJMaDFnZmZJMTBxSnNRV1MwYkVWN2VINXBrVk8yamkyZjgzdXpQUVJuYk9DeHU5NEpnZDByaHJjVi11NmpBQUdkSDJNSXJid3NIc1YzYm9xTVhPc3pPNFphc2pEbEhzSE9lOWRyTHhDblNpWVY4cG9hZVNVaXNNNmd4VzlCXzBV?oc=5,Medicaid,True,
"Arkansas hospital to close after 3 years, transition to psych facility",2026-04-07T21:52:42+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMitwFBVV95cUxQdS1Va2d0UzhSak5jbDBWT3NIUGFvSkROWW1yNTlfT3Z5WUdYVEhtOFY3UlNQbTMzWlU0MXpOQnpmdldBclo2Q0U3d3lqRDdaUTg4Y0l0c3I5Tzk1VXU2ZVNQZmpBd1g1Nnl6MVFITTlLbWt4eGI1RjJHMEN5eDU3NkdnaDVReWpvT2FreE9mX0JYWk4yU1YzbU1iU1h5T0U2OFp6SWtTSFpyYzQ4YlJPUDE2VkFsb00?oc=5,,False,
CMS hikes Medicare Advantage rate 2.48% for 2027: 6 notes,2026-04-06T21:48:41+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxPSl8yVWsyb3pwQVFmTE9FU0pMVzZEUEhqNkNZaXR4RVVZa3k0dl9HRmR3MDJYNW5CZWN0dDhSSmR1RktiREQ3WVRpUlVGV29qLXhuMDRBV0hhYnFxVk1GRDlmWEN6QzNxZ19qOUE5cmlMeGtLMldNWm5kdnFVYndCYmpUOG93Y2hQNlloajZzQUxhVkxETXhKOUhYYThKWVc4SkNHUw?oc=5,Medicare Advantage,True,
23 profitable health systems in 2025,2026-03-24T07:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiiwFBVV95cUxObHdnVVNvUmFlRjBZWnYyamRYZmo2Q3c1dlQ3dndXV00wbEZfRG9SVzZpNEFoc05wemtqaDBmVW5nNzBDQW9raWNrM2FzaVZNZks3Z1pzOWJjT2lPT1A3OC15bzFkSVl3QUh4RjF2WGttcnRzYzdYazBZcDRfdl9xSm4yQXdBV1pXSDBB?oc=5,,False,
California system to lay off nearly 300,2026-02-25T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMijwFBVV95cUxNSXFmTmd1ZjZod21wekRWQzJ0T2lLQ2Z4Sm41c2JwZ1hnV19NU25zcVZhSW5La1FfSndUaWQ5clV6VkdSYzRFLUFKMV9YOGxsUHJfMjk3X2FiMDB4bTZRcUFoajFGNUpEOE1hc0lxZUdPWGJud1ctRTRhd0hxdV9XVDdGZXF6WEhZQTBabjJkMA?oc=5,,False,
Hospital margins take a dive,2026-03-12T07:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMigAFBVV95cUxOdjFCSlRNaXJmU3RhWVZHS0dPU3Fxem9SWWNfUHRDcG4ydkhsaUxIWHNCelFXZFlrRWtSTjJnYXhqb2loSGN1aWNiUzI2Smk2WG5KSml3Smd6VFpLRldyTm9XOWR6dTNJM1NXNm1pRFpDS1R0UjR0aVhORlhibHZVdw?oc=5,,False,
32 health systems with strong finances,2026-04-15T13:21:53+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMijgFBVV95cUxOQjR5cDh2azJYMFZRME1SQkdWNkFHUFgzRjY5Nl9Nb19jRUR6SlhCNjMwSDN2THZDeUNBZGdpcmF6NWdteUNOSlZ1bXRrbldjdnpVTEtfcWJsVk15aEhoaTdCZ0JXU2MtNkdoYzBjWXJsaUVSQTJCSVlXa2VvamFncjBrQ2N4N3BaNzI0RC1B?oc=5,,False,
