title,published_dt,sources,sections,urls
$13.4B premium hike due to Medicare Advantage overpayments: Report,2026-03-10T20:11:12,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPQVlyRDlFNTJFNW44YmYtZ0MwVURKSEp2UDcwcDZTdmtxVFhTd09FRzRHMEpmYjllM2V4VmFZdGdiMUl2Wk5SMmhkOGVrOHluY0E5ak9meDVWUVlPTXN5aFk4RldUejBpVlJnMW9jV212eXJmNGc2WHAxNm1VakRqa2tZaFhTM2ExTHd5UGhRWXJ1dm9VajRNNUpJQzlkdGp0bzB2NlZlN1NuaFVkb18xdw?oc=5
"HHS launches $100M homelessness, addiction treatment initiative",2026-02-02T08:00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMirAFBVV95cUxQZ0NYTS1pN1N2N19oUzVab0pYdmg5QmswNWg1M3MxeVIxTTRUbVV1ZjZsa2NxU2ExSmQ4X2dkLU9nZ256OWpQbVFJZHIzbEt0TDFpUGIyRmdYWE82N3NtTWgzU3NJeDc5alJKY3B4STJCQ1dmcEVGTjkwQUk5THZvZEFWeU52bV9CVi1uekhTcmdFcjZNa0J2ZGNtbVBleGpsVDBjLVJGMi1zcG1t?oc=5
